# time(days) eclipse_dt(seconds) gw_freq(hertz)
0.000000000000000000e+00 0.000000000000000000e+00 4.629629629629628505e-03
4.359601953480609637e+00 -1.642129555534665997e-03 4.629629712370133057e-03
6.369732226260579111e+00 -3.505549412352593208e-03 4.629629750520222915e-03
6.407815610915315041e+00 -3.547592734776117140e-03 4.629629751243004125e-03
8.555973652610955327e+00 -6.324884782316075871e-03 4.629629792012712047e-03
9.867507906982343258e+00 -8.412570326754575945e-03 4.629629816904208897e-03
1.495027796958801325e+01 -1.931133412540475547e-02 4.629629913369672119e-03
1.563966802111934129e+01 -2.113337222340305743e-02 4.629629926453548983e-03
1.572276045767500108e+01 -2.135852899982637609e-02 4.629629928030554002e-03
1.684358072810854878e+01 -2.451221658930080594e-02 4.629629949302507819e-03
1.712000793839546020e+01 -2.532337966840714216e-02 4.629629954548797333e-03
2.146063885512382186e+01 -3.979229919650606462e-02 4.629630036929274772e-03
2.223352781617053964e+01 -4.271009105423217989e-02 4.629630051597870971e-03
2.652795618247346709e+01 -6.080248460875736782e-02 4.629630133101479521e-03
2.895569021878667115e+01 -7.244052459327576798e-02 4.629630179177249456e-03
3.432194646288876783e+01 -1.017788554236176424e-01 4.629630281023004376e-03
3.649239957839768778e+01 -1.150584679180610692e-01 4.629630322215865131e-03
4.115582250630833983e+01 -1.463444693172277766e-01 4.629630410722610466e-03
4.199733451940023343e+01 -1.523902554481537663e-01 4.629630426693603223e-03
4.274532618063087597e+01 -1.578668755655598943e-01 4.629630440889680697e-03
4.631389702558715982e+01 -1.853260179814242292e-01 4.629630508617318431e-03
5.075767806738248566e+01 -2.225959388397313887e-01 4.629630592955510243e-03
5.846518599635748359e+01 -2.953305770688530174e-01 4.629630739235746431e-03
5.980524060161000222e+01 -3.090240120627640863e-01 4.629630764668548129e-03
6.353887785174922698e+01 -3.488131296762730926e-01 4.629630835528987173e-03
6.480692203519349448e+01 -3.628745686910406221e-01 4.629630859595109532e-03
6.576156329940056366e+01 -3.736439886324660620e-01 4.629630877713180812e-03
6.907359564906609251e+01 -4.122283633932966040e-01 4.629630940572015269e-03
7.285333352818787489e+01 -4.585773489452549256e-01 4.629631012307404599e-03
7.357109034580479090e+01 -4.676577409099991200e-01 4.629631025929663302e-03
7.701420288299142669e+01 -5.124545952639891766e-01 4.629631091276267298e-03
8.103912406221473930e+01 -5.674181436006620061e-01 4.629631167664984698e-03
8.361705213439159934e+01 -6.040925052730017342e-01 4.629631216591315566e-03
8.464278850614826410e+01 -6.190043026890634792e-01 4.629631236058700736e-03
9.100632747505454745e+01 -7.155779017011809628e-01 4.629631356831907275e-03
9.200148289048743777e+01 -7.313131744467682438e-01 4.629631375718900807e-03
9.784466829065456750e+01 -8.271572347894107224e-01 4.629631486616361292e-03
9.916044729299650839e+01 -8.495534279518324183e-01 4.629631511588453395e-03
1.006691708072628302e+02 -8.756019605243636761e-01 4.629631540222427059e-03
1.036343524708353101e+02 -9.279428260924760252e-01 4.629631596498435218e-03
1.042958014923345331e+02 -9.398258682267623954e-01 4.629631609052038341e-03
1.090402036156309009e+02 -1.027275782416836591e+00 4.629631699095773829e-03
1.122872646271040509e+02 -1.089368334623941337e+00 4.629631760721562503e-03
1.150270326423313492e+02 -1.143177255335103837e+00 4.629631812719467616e-03
1.176171705958917499e+02 -1.195240217839454999e+00 4.629631861877553205e-03
1.204613983326508446e+02 -1.253745949452422792e+00 4.629631915858000053e-03
1.243335754983145733e+02 -1.335643602578784339e+00 4.629631989347844472e-03
1.284454894270319869e+02 -1.425448260215489427e+00 4.629632067387646523e-03
1.313823445673973254e+02 -1.491378088212513831e+00 4.629632123126070815e-03
1.342114132180278148e+02 -1.556297576826182194e+00 4.629632176818823316e-03
1.362917920594186683e+02 -1.604919102192070568e+00 4.629632216302231179e-03
1.433332735075296398e+02 -1.775038517553184647e+00 4.629632349942169704e-03
1.478355368977251203e+02 -1.888301892449817387e+00 4.629632435390419742e-03
1.521920332322598028e+02 -2.001232653947226936e+00 4.629632518072166608e-03
1.541335505499188798e+02 -2.052617881872720318e+00 4.629632554920138331e-03
1.573710182778996511e+02 -2.139751070626516594e+00 4.629632616363898133e-03
1.584816923454028199e+02 -2.170061004107992630e+00 4.629632637443333205e-03
1.627852660257649404e+02 -2.289517300687293755e+00 4.629632719120676913e-03
1.686696483470724104e+02 -2.458032503272988833e+00 4.629632830800131660e-03
1.740538713334757972e+02 -2.617466411447821883e+00 4.629632932987090208e-03
1.750673542060185923e+02 -2.648037182552798185e+00 4.629632952221942634e-03
1.794650194482480288e+02 -2.782744693286076654e+00 4.629633035685067934e-03
1.860768744708494467e+02 -2.991565717911726097e+00 4.629633161171228459e-03
1.861210732507210821e+02 -2.992987057041318621e+00 4.629633162010074812e-03
1.902184843604344167e+02 -3.126217402223119279e+00 4.629633239774701148e-03
1.931004620562914056e+02 -3.221664921602496179e+00 4.629633294471659916e-03
1.966279678086013121e+02 -3.340444987679802580e+00 4.629633361420078079e-03
1.994232422368112907e+02 -3.436095993311027996e+00 4.629633414471504178e-03
2.001792350042080102e+02 -3.462197136650502216e+00 4.629633428819467968e-03
2.030818346321277374e+02 -3.563328806831123075e+00 4.629633483907818516e-03
2.038707692931873510e+02 -3.591068306104716612e+00 4.629633498880985319e-03
2.077421056261738954e+02 -3.728746003980631940e+00 4.629633572354964824e-03
2.129107661198586641e+02 -3.916597910938435234e+00 4.629633670450828721e-03
2.142206830035704854e+02 -3.964939287561719539e+00 4.629633695311705967e-03
2.195052492197630727e+02 -4.162972702124534408e+00 4.629633795607351020e-03
2.215015433426510469e+02 -4.239037471506890142e+00 4.629633833494967675e-03
2.217655340588482602e+02 -4.249147861446544994e+00 4.629633838505241121e-03
2.241445493450694926e+02 -4.340803304694418330e+00 4.629633883656514466e-03
2.276449609116054376e+02 -4.477440517803188413e+00 4.629633950090744111e-03
2.296414988899364573e+02 -4.556322836924664443e+00 4.629633987982993346e-03
2.311984110401367616e+02 -4.618313734408729943e+00 4.629634017531594758e-03
2.352195339869147119e+02 -4.780358999960299116e+00 4.629634093848400932e-03
2.383517375578107362e+02 -4.908517988405947108e+00 4.629634153294428893e-03
2.391075675485430168e+02 -4.939697852933022659e+00 4.629634167639310946e-03
2.410137313016908251e+02 -5.018770252991089365e+00 4.629634203816356680e-03
2.418949015179585444e+02 -5.055535588599013863e+00 4.629634220540070240e-03
2.484414155264974511e+02 -5.332879032630444271e+00 4.629634344786241751e-03
2.491186368674735832e+02 -5.361992229245515773e+00 4.629634357639214777e-03
2.540127293220555487e+02 -5.574741119289683411e+00 4.629634450524116804e-03
2.577711029541874836e+02 -5.740929346757184248e+00 4.629634521854234831e-03
2.607414080309312112e+02 -5.873997475100622978e+00 4.629634578227613019e-03
2.653123199422806806e+02 -6.081750182784162462e+00 4.629634664978891923e-03
2.669402736116817891e+02 -6.156614274004823528e+00 4.629634695875805422e-03
2.716582244753247437e+02 -6.376163693494163454e+00 4.629634785417742655e-03
2.728754035826085556e+02 -6.433429181743122172e+00 4.629634808518572932e-03
2.800655845458281306e+02 -6.776933615037705749e+00 4.629634944980953390e-03
2.840019041448966846e+02 -6.968771848733013030e+00 4.629635019688333429e-03
2.849844487474351240e+02 -7.017074153736757580e+00 4.629635038336041807e-03
2.876565714090061192e+02 -7.149280584781081416e+00 4.629635089050240272e-03
2.877240069657780168e+02 -7.152633003897790331e+00 4.629635090330100171e-03
