# time(days) eclipse_dt(seconds) gw_freq(hertz)
0.000000000000000000e+00 0.000000000000000000e+00 4.821699107149871044e-03
6.692008437622089190e+00 -8.792660679546315805e-03 4.821699253799245112e-03
1.963498590342045347e+01 -7.569523488655249821e-02 4.821699537433056862e-03
3.080586176857366354e+01 -1.863262640881657717e-01 4.821699782232890912e-03
4.140942148069633788e+01 -3.366709762303798925e-01 4.821700014600536002e-03
5.225729879517120935e+01 -5.361684635090568918e-01 4.821700252322229027e-03
6.363287167478054585e+01 -7.950059840140966116e-01 4.821700501607952168e-03
7.461482937987490516e+01 -1.093094356610890827e+00 4.821700742267987470e-03
8.544868321978268000e+01 -1.433567348158248933e+00 4.821700979682499999e-03
9.424151536844590282e+01 -1.743780728338606423e+00 4.821701172369822694e-03
1.047589197524705042e+02 -2.154712714991546818e+00 4.821701402849693993e-03
1.169873524247094849e+02 -2.687108340433042031e+00 4.821701670825329598e-03
1.285585910150500126e+02 -3.244961584096017759e+00 4.821701924399168608e-03
1.391575168357351515e+02 -3.802075116618652828e+00 4.821702156665645493e-03
1.503742261659727149e+02 -4.439705498316470766e+00 4.821702402470368423e-03
1.599660967117737300e+02 -5.024157524803740671e+00 4.821702612668156418e-03
1.714256296483625022e+02 -5.769774746477196459e+00 4.821702863794242490e-03
1.822345788904593462e+02 -6.520320249728683848e+00 4.821703100663373570e-03
1.950082077142221806e+02 -7.466432326782523887e+00 4.821703380586878952e-03
2.050625334917217515e+02 -8.256195898775331443e+00 4.821703600919150477e-03
2.132832089718127975e+02 -8.931423538797389483e+00 4.821703781068512051e-03
2.235753181945754022e+02 -9.814203680980426725e+00 4.821704006611681262e-03
2.311058965932585068e+02 -1.048647208108377527e+01 4.821704171638180672e-03
2.397672848276652360e+02 -1.128722551666214713e+01 4.821704361445484227e-03
2.536250426278814416e+02 -1.262965879968760419e+01 4.821704665127072784e-03
2.621752884567201249e+02 -1.349555846009025117e+01 4.821704852498850599e-03
2.711975098510825433e+02 -1.444038414992974140e+01 4.821705050213623972e-03
2.818063587703113058e+02 -1.559225499531748937e+01 4.821705282698109628e-03
2.895205366599303147e+02 -1.645758482300152536e+01 4.821705451748207333e-03
3.010061331090224712e+02 -1.778926648821652634e+01 4.821705703445995812e-03
3.114748011262054774e+02 -1.904816683909302810e+01 4.821705932858641810e-03
3.231143375653277872e+02 -2.049839278024592204e+01 4.821706187929997341e-03
3.340268413148652940e+02 -2.190635317929263692e+01 4.821706427069045314e-03
3.439892204694575639e+02 -2.323255738701845985e+01 4.821706645386887417e-03
3.534568190230681921e+02 -2.452901343458506744e+01 4.821706852862027784e-03
3.672054370559595782e+02 -2.647436534552980447e+01 4.821707154152476971e-03
3.750693020296359919e+02 -2.762042725698847789e+01 4.821707326483094629e-03
3.852541123181036937e+02 -2.914083006035070866e+01 4.821707549675495821e-03
3.980722328114070478e+02 -3.111222861425630981e+01 4.821707830574950560e-03
4.075741151431148523e+02 -3.261523713827045867e+01 4.821708038801581810e-03
4.168610230815049817e+02 -3.411850019383564359e+01 4.821708242317242731e-03
4.240142977935753947e+02 -3.529948378891276661e+01 4.821708399075943369e-03
4.365611407758777318e+02 -3.741945889596536290e+01 4.821708674030732340e-03
4.471377891123864856e+02 -3.925455893768230453e+01 4.821708905810206426e-03
4.606449565371311792e+02 -4.166198833790986100e+01 4.821709201809911208e-03
4.690268321398384614e+02 -4.319194177151075564e+01 4.821709385492624345e-03
